,,,理论分析结果 the8x8mat 变量说明 ,
% 参数,,,,
wlogit=1/60;    ,,时间间隔,,
Lambda=1/wlogit; ,,Logit参数,,
repeat= 1000; ,,实验轮次,,
,,,,
"% 理论分布3g*(8x2,64)、马尔科夫、支付矩阵、豆矩阵",,,,
"theg3_Nash,",,%Nash均衡,,
,,1-8行 ,Game1,
,,9-16行,Game2,
,,17-24行,Game3,
,,第1列,态编码,
,,第2列,p,
,,第3列,q,
,,第4列,Game编码,
,,,,
"the3g_M64x64,",,%马尔科夫矩阵，求和为64,,
,,64行,t时刻,"11,12，。。。88态"
,,64列,t+1时刻,"11,12，。。。88态"
,,,,
"the3g_v64,",,%稳态64态之分布，求和为2,,
,,64行,"11,12，。。。88态上的密度",
,,1-3列,Game-Game3,
,,,,
"the3g_8x2_fromMarkov,",,%稳态8+8态之分布,,
,,第1列态标志,,‘1-8 
,,第2列态标志,,p
,,第3列态标志,,q
,,1-8行 ,Game1,
,,9-16行,Game2,
,,17-24行,Game3,
,,,,
"g3_PayoffMatrix,",,%支付矩阵,8x8,
,,":,:,1",Game1,
,,":,:,2",Game2,
,,":,:,3",Game3,
,,,,
"theg3_DouA,",,%理论豆矩阵,,
,,,,
theN_Dou,,%理论净豆数量（E4000vsT0）,,
,,,,
% 理论crossover 理论图  累积线、脉冲线,,,,
theg3_p16_acc16_1000,,,,
,,32列,p1-p8,8列
,,,q1-q8,8列
,,,pacc1-8,8列
,,,qacc2-8,8列
,,3000行,Game1,1-1000行
,,,Game2,1001-2000行
,,,Game3,2001-3000行
,,,,
theg3_p16_acc16_lastround,,第1000轮结果，均匀分布开始，按照给定的参数演化,,
,,1-3行 ,Game1-3,
,,1-32列,p1-p8,
,,,q1-q8,
,,,pacc1-8,
,,,qacc2-8,
,,33-34,实验参数 m n,
,,35-36,"实验参数 lambda, timestep",
,,37,轮次,
